onset	duration	modality	hand_ori	finger	touch_side	mov_num	target	run_num	block_num	trial_num_per_run	trial_num_per_block
48.791	2.8023	1	2	1	1	5	1	1	1	1	1
51.4165	2.8023	1	2	2	2	2	1	1	1	2	2
54.041	2.8023	1	2	2	2	2	1	1	1	3	3
56.6665	2.8023	1	2	1	1	16	2	1	1	4	4
59.292	2.8023	1	2	2	2	3	1	1	1	5	5
61.917	2.8023	1	2	1	1	4	1	1	1	6	6
64.5425	2.8023	1	2	1	1	6	1	1	1	7	7
67.168	2.8023	1	2	2	2	3	1	1	1	8	8
69.793	2.8023	1	2	2	2	2	1	1	1	9	9
72.4185	2.8023	1	2	2	2	3	1	1	1	10	10
74.252	2.8023	2	2	2	2	0	1	1	1	11	11
76.8774	2.8023	2	2	1	1	0	1	1	1	12	12
79.5024	2.8023	2	2	1	1	0	1	1	1	13	13
82.1279	2.8023	2	2	1	1	0	1	1	1	14	14
84.7534	2.8023	2	2	2	2	0	1	1	1	15	15
87.3784	2.8023	2	2	2	2	0	1	1	1	16	16
90.0039	2.8023	2	2	2	2	0	1	1	1	17	17
92.6289	2.8023	2	2	1	1	0	1	1	1	18	18
95.2544	2.8023	2	2	1	1	0	2	1	1	19	19
97.8799	2.8023	2	2	1	1	0	1	1	1	20	20
101.2969	2.8023	1	2	1	1	5	1	1	1	21	21
103.9224	2.8023	1	2	1	1	4	1	1	1	22	22
106.5474	2.8023	1	2	1	1	17	2	1	1	23	23
109.5396	2.8023	1	2	2	2	2	1	1	1	24	24
112.165	2.8023	1	2	1	1	6	1	1	1	25	25
114.79	2.8023	1	2	1	1	5	1	1	1	26	26
117.4155	2.8023	1	2	2	2	2	1	1	1	27	27
120.041	2.8023	1	2	2	2	1	1	1	1	28	28
122.666	2.8023	1	2	2	2	13	2	1	1	29	29
125.2915	2.8023	1	2	1	1	4	1	1	1	30	30
127.917	2.8023	1	2	1	1	4	1	1	1	31	31
129.7505	2.8023	2	2	1	1	0	1	1	1	32	32
132.3755	2.8023	2	2	1	1	0	1	1	1	33	33
135.001	2.8023	2	2	2	2	0	1	1	1	34	34
137.6265	2.8023	2	2	2	2	0	1	1	1	35	35
140.2515	2.8023	2	2	1	1	0	1	1	1	36	36
142.877	2.8023	2	2	2	2	0	1	1	1	37	37
145.5024	2.8023	2	2	2	2	0	1	1	1	38	38
148.1274	2.8023	2	2	2	2	0	2	1	1	39	39
150.7529	2.8023	2	2	2	2	0	1	1	1	40	40
153.3784	2.8023	2	2	1	1	0	1	1	1	41	41
